gene	HC1	HC2	HC3	HC4	M1	M2	M3	S1	S2	S3	S4	S5	S6
AL627309.1	5	4	10	0	7	4	0	7	19	2	1	2	2
AL669831.5	60	56	166	9	119	101	1	70	116	17	14	14	11
FAM87B	4	0	3	1	9	4	0	0	11	0	0	0	0
LINC00115	27	20	116	6	78	125	6	111	308	17	47	20	16
FAM41C	72	64	54	3	42	57	1	55	62	8	25	19	11
NOC2L	594	288	752	151	1142	1065	35	625	1544	67	233	114	161
KLHL17	38	14	63	9	53	61	2	40	102	9	31	10	12
PLEKHN1	10	2	8	2	30	24	4	121	374	15	27	46	23
HES4	13	16	31	105	854	583	202	7771	19747	1488	1069	1892	243
ISG15	14669	6232	8858	1471	132565	105826	6782	171453	561512	25555	41915	52932	8732
AGRN	372	120	367	127	1721	1440	58	922	1840	202	299	263	120
C1orf159	82	39	91	18	172	139	4	89	193	9	44	12	24
AL390719.2	1	1	0	16	1	1	0	5	7	1	2	1	0
TTLL10	21	15	8	45	23	11	1	7	15	3	0	0	2
TNFRSF18	82	7	7	4	31	4	0	67	255	23	29	3	30
TNFRSF4	100	8	10	8	75	5	1	132	581	156	36	18	55
SDF4	2613	1356	1908	608	5466	5372	176	2755	9175	480	1571	663	727
B3GALT6	385	174	476	77	452	396	23	401	984	48	88	100	82
C1QTNF12	12	0	15	1	8	4	0	10	29	2	1	7	1
UBE2J2	1002	432	705	207	1355	1166	33	901	2668	132	397	233	221
SCNN1D	13	14	21	3	35	23	0	11	6	2	1	3	3
ACAP3	162	101	174	64	233	246	11	292	484	46	93	58	49
PUSL1	313	112	289	68	267	277	9	171	388	23	58	34	23
INTS11	715	388	612	164	1117	1210	34	711	1868	107	323	152	158
CPTP	208	101	260	63	392	328	9	207	427	25	95	51	36
TAS1R3	2	0	4	0	3	5	0	2	4	0	0	2	1
DVL1	87	76	124	29	174	147	10	277	380	28	78	43	55
AURKAIP1	5358	2555	3370	1320	6438	5740	216	4956	13374	476	1777	1196	851
CCNL2	477	278	670	116	968	905	40	988	2197	127	285	205	162
MRPL20	5868	3256	3409	1125	6703	5366	163	3421	8662	248	1121	582	761
AL391244.3	9	15	16	1	24	34	1	39	58	3	11	6	10
ANKRD65	3	1	3	19	4	12	0	13	13	3	4	1	0
VWA1	0	0	0	4	0	0	0	6	3	1	1	0	0
ATAD3C	149	77	21	9	90	70	4	63	90	14	20	19	12
ATAD3B	106	73	57	39	259	181	9	247	842	32	134	66	63
ATAD3A	173	92	388	61	338	264	16	150	456	17	106	51	42
TMEM240	10	11	21	0	9	8	0	3	8	1	0	0	0
SSU72	5388	2460	3853	1258	9469	8345	213	4079	9945	435	1492	720	567
AL645728.1	79	35	93	11	61	65	0	49	144	3	15	6	20
FNDC10	143	80	214	28	155	288	4	74	184	11	30	16	13
AL691432.2	84	47	96	22	103	112	6	116	221	24	22	11	20
MIB2	234	149	315	86	447	450	24	243	424	46	75	22	27
MMP23B	14	7	3	0	4	2	0	7	6	0	2	0	0
CDK11B	1050	718	595	86	1418	1227	56	1309	1941	139	226	227	140
FO704657.1	23	10	14	3	22	16	0	25	51	0	4	6	13
SLC35E2B	293	212	332	21	345	211	5	158	320	24	58	33	33
CDK11A	675	408	281	21	897	990	41	774	1760	139	216	236	140
SLC35E2A	111	82	107	14	45	141	2	123	95	13	18	12	12
NADK	1003	661	698	205	5032	3922	159	4230	12709	819	1100	1066	310
GNB1	2699	1326	4084	657	4324	4112	235	6035	13803	721	1566	1015	925
CALML6	4	0	0	0	0	1	0	0	1	0	0	0	0
TMEM52	8	3	15	9	6	20	0	14	56	5	2	1	1
CFAP74	3	6	1	35	2	2	0	10	18	7	1	2	1
PRKCZ	85	63	112	12	188	239	1	25	98	4	19	6	9
AL590822.2	2	3	5	0	3	2	1	10	14	5	4	2	5
PRKCZ-AS1	3	0	2	0	1	0	0	4	5	1	2	0	1
FAAP20	2336	1265	1581	471	2679	2339	89	2172	5058	210	577	381	367
SKI	950	455	1536	182	1576	1424	20	698	976	44	224	122	80
MORN1	32	16	46	36	50	42	1	30	51	7	6	2	5
RER1	4369	2262	3535	863	4943	5084	187	4235	9236	311	1608	1172	888
PEX10	361	219	277	136	787	654	16	294	798	24	165	47	43
PLCH2	2	0	0	2	2	0	0	2	5	1	0	1	0
PANK4	212	102	174	32	456	491	18	285	611	43	49	43	30
AL139246.5	60	19	70	35	123	87	13	206	2015	275	72	49	74
TNFRSF14-AS1	53	52	89	30	160	63	3	194	417	50	57	33	25
TNFRSF14	1688	900	1961	529	4923	4139	179	3937	13394	942	1305	825	646
AL139246.3	4	3	0	0	3	2	0	11	22	14	2	1	0
FAM213B	81	43	56	24	196	151	4	162	398	67	58	23	42
MMEL1	49	24	35	14	133	32	1	21	95	1	2	4	4
TTC34	35	11	65	4	23	26	0	15	29	6	2	7	0
ARHGEF16	7	0	10	6	2	3	0	3	12	3	0	0	0
MEGF6	9	1	40	4	8	19	1	12	32	3	5	2	1
AL513320.1	7	0	4	2	5	4	0	1	5	0	0	1	1
TPRG1L	445	197	403	102	435	449	18	378	859	52	107	72	63
WRAP73	471	247	355	81	811	884	32	453	1216	58	167	81	49
TP73	3	3	2	21	1	2	0	8	9	0	3	0	2
SMIM1	5	0	7	8	20	6	1	67	158	5	8	12	3
LRRC47	397	176	452	88	899	688	27	417	1092	42	146	85	78
CEP104	438	241	442	84	805	744	21	434	845	34	110	60	57
DFFB	64	39	93	15	119	113	4	71	181	7	23	9	6
C1orf174	921	353	729	150	1632	1367	45	850	1921	74	194	130	67
LINC01134	25	10	21	8	16	28	0	16	48	4	3	0	0
NPHP4	73	39	82	29	141	144	4	92	125	7	29	7	9
KCNAB2	1970	1010	1640	536	3888	3745	125	1586	4834	198	754	406	343
RPL22	54444	39974	31670	7128	36411	29829	991	24907	55689	2243	7064	2858	4021
RNF207	2	2	5	2	6	2	0	12	18	1	2	2	1
ICMT	438	275	395	149	734	670	16	434	821	32	177	71	60
GPR153	179	158	212	52	144	155	8	89	122	8	21	2	9
ACOT7	4602	2767	2388	1075	1728	2761	165	525	1098	26	156	35	133
AL031848.2	18	4	34	10	40	30	0	22	36	3	3	4	8
HES2	650	844	406	92	332	724	48	67	305	4	47	3	38
ESPN	5	5	15	18	12	10	0	4	12	3	0	1	0
TNFRSF25	33	3	6	2	16	9	1	46	115	2	5	9	4
NOL9	246	138	254	44	364	311	7	292	489	20	56	37	46
ZBTB48	313	178	431	73	399	454	16	301	844	43	73	88	95
KLHL21	228	122	163	40	229	272	10	301	816	142	100	35	24
PHF13	112	48	127	19	139	215	11	149	738	30	41	23	22
THAP3	374	192	261	56	647	628	18	301	1126	55	78	89	67
DNAJC11	298	231	262	34	736	665	12	382	949	32	128	56	51
CAMTA1-DT	14	10	4	2	13	10	0	14	22	0	5	3	3
CAMTA1	3855	1986	2600	740	4269	3289	169	4233	9970	371	894	577	612
AL359881.1	6	0	7	1	0	5	0	0	0	0	0	0	0
VAMP3	2675	1375	2504	594	4062	3446	137	3766	6885	261	791	442	492
PER3	100	68	560	35	399	312	11	246	443	52	35	19	17
Z98884.1	21	3	12	0	17	11	0	14	26	5	5	4	0
UTS2	176	27	0	0	163	94	4	123	294	0	139	0	15
TNFRSF9	8	4	3	0	15	14	0	47	68	29	11	7	9
PARK7	11113	5273	4411	1965	8927	12321	273	4600	16190	463	1713	672	1102
AL034417.4	10	5	13	2	7	10	0	7	6	2	1	1	3
AL034417.3	6	2	9	0	3	4	0	3	5	0	1	3	0
ERRFI1	146	121	137	141	200	202	12	155	447	31	101	303	23
SLC45A1	23	13	16	4	52	76	3	0	6	0	1	4	0
RERE	388	190	413	78	1730	1268	45	1433	3823	163	409	224	103
AL096855.1	11	3	4	0	34	15	0	23	59	1	7	5	1
ENO1	12501	4689	8044	2523	12440	12945	505	13595	33663	1686	4898	3197	3709
ENO1-AS1	17	6	7	4	10	9	0	15	35	1	1	8	6
SLC2A5	14	13	8	5	44	64	0	60	179	2	48	6	20
GPR157	292	140	195	81	145	252	7	136	377	30	66	19	10
MIR34AHG	199	167	347	22	384	340	16	250	285	35	29	18	18
LINC01759	81	68	52	13	150	102	2	48	60	13	6	17	5
H6PD	1202	530	956	175	714	840	19	436	1380	49	176	78	72
SPSB1	85	27	47	29	240	236	14	504	2426	118	277	88	96
AL928921.2	5	0	6	3	16	13	0	1	2	0	0	0	0
SLC25A33	293	150	326	143	543	525	26	656	1679	98	222	126	69
TMEM201	31	27	48	12	106	117	1	56	128	7	20	17	5
PIK3CD	234	130	440	29	856	699	19	598	1273	73	202	59	61
PIK3CD-AS1	7	3	11	1	114	68	4	22	31	2	6	4	3
PIK3CD-AS2	15	16	10	3	29	30	0	15	30	4	5	2	6
CLSTN1	410	179	383	108	864	841	23	778	1249	71	169	122	90
