,gene_id,gene_name
1,ENSG00000223972,DDX11L1
2,ENSG00000227232,WASH7P
3,ENSG00000278267,MIR6859-1
4,ENSG00000243485,MIR1302-2HG
5,ENSG00000284332,MIR1302-2
6,ENSG00000237613,FAM138A
7,ENSG00000268020,OR4G4P
8,ENSG00000240361,OR4G11P
9,ENSG00000186092,OR4F5
10,ENSG00000238009,AL627309.1
11,ENSG00000239945,AL627309.3
12,ENSG00000233750,CICP27
13,ENSG00000268903,AL627309.6
14,ENSG00000269981,AL627309.7
15,ENSG00000239906,AL627309.2
16,ENSG00000241860,AL627309.5
17,ENSG00000222623,RNU6-1100P
18,ENSG00000241599,AL627309.4
19,ENSG00000279928,FO538757.2
20,ENSG00000279457,FO538757.1
21,ENSG00000273874,MIR6859-2
22,ENSG00000228463,AP006222.1
23,ENSG00000236679,RPL23AP24
24,ENSG00000236601,AL732372.1
25,ENSG00000237094,AL732372.2
26,ENSG00000269732,WBP1LP7
27,ENSG00000284733,OR4F29
28,ENSG00000233653,CICP7
29,ENSG00000250575,AL732372.3
30,ENSG00000278757,RF00026
31,ENSG00000230021,AL669831.3
32,ENSG00000235146,AC114498.1
33,ENSG00000225972,MTND1P23
34,ENSG00000225630,MTND2P28
35,ENSG00000237973,MTCO1P12
36,ENSG00000278791,MIR6723
37,ENSG00000229344,MTCO2P12
38,ENSG00000240409,MTATP8P1
39,ENSG00000248527,MTATP6P1
40,ENSG00000198744,MTCO3P12
41,ENSG00000268663,WBP1LP6
42,ENSG00000284662,OR4F16
43,ENSG00000229376,CICP3
44,ENSG00000228327,AL669831.1
45,ENSG00000223181,RNU6-1199P
46,ENSG00000229905,AL669831.2
47,ENSG00000237491,AL669831.5
48,ENSG00000285268,AL669831.7
49,ENSG00000230092,AL669831.4
50,ENSG00000177757,FAM87B
51,ENSG00000228794,LINC01128
52,ENSG00000225880,LINC00115
53,ENSG00000230368,FAM41C
54,ENSG00000234711,TUBB8P11
55,ENSG00000283040,AL669831.6
56,ENSG00000272438,AL645608.6
57,ENSG00000230699,AL645608.2
58,ENSG00000241180,AL645608.4
59,ENSG00000223764,LINC02593
60,ENSG00000187634,SAMD11
61,ENSG00000188976,NOC2L
62,ENSG00000187961,KLHL17
63,ENSG00000187583,PLEKHN1
64,ENSG00000187642,PERM1
65,ENSG00000272512,AL645608.7
66,ENSG00000188290,HES4
67,ENSG00000187608,ISG15
68,ENSG00000231702,AL645608.3
69,ENSG00000224969,AL645608.1
70,ENSG00000188157,AGRN
71,ENSG00000242590,AL645608.5
72,ENSG00000217801,AL390719.1
73,ENSG00000273443,AL645608.8
74,ENSG00000237330,RNF223
75,ENSG00000131591,C1orf159
76,ENSG00000285812,AL390719.3
77,ENSG00000223823,LINC01342
78,ENSG00000207730,MIR200B
79,ENSG00000207607,MIR200A
80,ENSG00000198976,MIR429
81,ENSG00000272141,AL390719.2
82,ENSG00000205231,TTLL10-AS1
83,ENSG00000162571,TTLL10
84,ENSG00000186891,TNFRSF18
85,ENSG00000186827,TNFRSF4
86,ENSG00000078808,SDF4
87,ENSG00000176022,B3GALT6
88,ENSG00000184163,C1QTNF12
89,ENSG00000260179,AL162741.1
90,ENSG00000160087,UBE2J2
91,ENSG00000230415,LINC01786
92,ENSG00000162572,SCNN1D
93,ENSG00000131584,ACAP3
94,ENSG00000278073,MIR6726
95,ENSG00000169972,PUSL1
96,ENSG00000127054,INTS11
97,ENSG00000283712,MIR6727
