"","D367T01","D367T02","D367T03","D367T07","D367T08","D367T09","D367T13","D367T14","D367T15","D367T19","D367T20","D367T21","D367T25","D367T26","D367T27"
"ENSG00000223972",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000227232",30,40,77,42,36,29,36,33,31,29,41,53,54,42,42
"ENSG00000278267",3,4,6,0,1,4,3,2,2,6,4,6,2,3,7
"ENSG00000243485",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000238009",7,0,1,5,1,5,5,1,1,11,1,5,2,0,2
"ENSG00000239945",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268903",26,19,47,112,61,64,149,47,45,134,54,82,49,23,74
"ENSG00000269981",73,76,107,218,122,148,230,74,71,205,105,151,135,60,109
"ENSG00000239906",1,1,0,1,0,1,1,1,1,0,1,1,0,1,1
"ENSG00000241860",17,8,3,45,25,33,25,14,16,39,25,28,15,14,14
"ENSG00000222623",0,0,0,0,0,0,0,1,2,1,1,0,0,0,1
"ENSG00000241599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279928",4,1,1,0,0,0,4,1,1,0,0,0,11,0,0
"ENSG00000279457",25,52,74,17,27,24,68,60,52,22,42,66,115,79,88
"ENSG00000273874",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228463",33,22,17,12,16,16,36,21,9,23,18,19,19,10,8
"ENSG00000236679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237094",114,86,84,164,106,146,129,44,47,141,64,119,84,63,78
"ENSG00000269732",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284733",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233653",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250575",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278757",1,0,3,4,2,2,0,0,0,1,2,1,0,0,0
"ENSG00000230021",0,2,5,3,1,6,4,4,4,8,7,7,4,9,4
"ENSG00000235146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225972",5,5,7,6,2,5,8,3,5,16,6,6,14,12,6
"ENSG00000225630",973,636,828,1124,711,958,1260,417,452,980,386,673,1730,511,642
"ENSG00000237973",718,645,819,918,627,969,955,494,445,728,389,625,971,526,620
"ENSG00000278791",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000229344",51,45,85,92,51,45,74,31,37,47,26,64,97,47,39
"ENSG00000240409",2,3,2,0,0,1,0,0,1,1,0,1,1,0,0
"ENSG00000248527",4880,3222,4731,5928,3229,5049,5811,1964,2158,4651,1943,3488,7710,2170,2968
"ENSG00000198744",16,13,12,59,23,41,86,19,31,36,1,22,86,14,22
"ENSG00000268663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284662",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228327",21,56,66,59,106,82,30,57,40,75,89,148,65,82,92
"ENSG00000223181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237491",9,9,21,22,24,24,13,11,10,26,12,30,8,2,12
"ENSG00000285268",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230092",6,3,12,12,12,17,14,4,3,10,5,11,10,2,3
"ENSG00000177757",1,1,2,1,6,7,2,5,1,1,3,11,0,3,4
"ENSG00000228794",157,108,181,210,253,257,215,155,147,220,198,223,326,125,185
"ENSG00000225880",10,10,13,24,23,32,18,9,4,11,10,10,12,10,10
"ENSG00000230368",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
"ENSG00000234711",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000283040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272438",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230699",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000241180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223764",1,0,1,6,0,0,1,0,0,2,0,0,3,0,0
"ENSG00000187634",0,0,0,13,0,0,3,0,0,1,0,0,3,0,0
"ENSG00000188976",868,639,711,1121,577,569,1140,427,283,1252,555,684,2359,573,489
"ENSG00000187961",54,39,74,113,66,70,158,76,58,100,46,65,165,53,80
"ENSG00000187583",3,127,193,10,92,93,14,121,118,7,137,196,16,240,281
"ENSG00000187642",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000272512",0,22,81,0,18,36,0,55,101,0,45,68,0,22,67
"ENSG00000188290",4,92,211,6,50,37,2,120,139,8,145,219,3,104,134
"ENSG00000187608",102,21328,25060,125,8519,6645,179,17107,9619,166,29816,31206,231,32214,32786
"ENSG00000231702",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224969",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"ENSG00000188157",563,3761,5445,2104,5705,4391,2727,6124,4447,2189,6446,8997,2014,4801,6745
"ENSG00000242590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000217801",8,7,24,29,63,31,38,26,30,29,27,15,26,24,35
"ENSG00000273443",0,0,4,1,1,2,0,3,1,2,4,6,0,3,12
"ENSG00000237330",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000131591",49,84,97,148,114,113,157,95,60,138,95,138,189,74,99
"ENSG00000285812",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000198976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272141",0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
"ENSG00000205231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162571",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"ENSG00000186891",1,25,23,6,138,78,4,179,41,3,25,21,4,22,14
"ENSG00000186827",7,622,630,22,974,586,26,1359,731,13,869,941,54,448,456
"ENSG00000078808",2419,3587,4634,3877,4045,4120,3910,3001,1988,3992,3880,4778,5689,3110,3087
"ENSG00000176022",183,146,201,300,264,258,299,212,136,296,159,235,391,133,141
"ENSG00000184163",0,4,4,1,7,7,1,4,0,0,1,5,0,3,3
"ENSG00000260179",4,2,4,0,0,9,3,1,1,1,3,2,7,0,3
"ENSG00000160087",443,485,566,713,553,467,737,383,261,771,485,536,987,434,473
"ENSG00000230415",7,0,1,11,5,4,8,4,0,7,2,2,9,2,3
"ENSG00000162572",13,5,10,29,26,20,21,18,7,29,16,17,27,8,8
"ENSG00000131584",507,408,590,868,451,466,1044,402,352,811,378,480,1173,315,353
"ENSG00000278073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000169972",84,48,45,160,56,63,154,48,43,143,39,50,204,38,55
"ENSG00000127054",503,755,833,718,795,834,800,564,376,791,692,832,1290,637,675
"ENSG00000283712",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240731",14,12,15,10,19,17,13,9,8,11,10,12,14,7,15
"ENSG00000224051",151,228,266,380,276,224,468,233,178,370,281,360,435,213,240
"ENSG00000169962",2,3,13,6,7,6,10,6,3,4,6,4,9,6,17
"ENSG00000107404",179,193,294,404,384,330,489,263,208,359,283,404,617,195,282
"ENSG00000284372",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000162576",0,0,1,0,0,0,1,1,0,0,1,0,2,0,0
"ENSG00000175756",440,403,430,640,427,399,791,363,226,740,450,614,924,305,358
"ENSG00000223663",0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
"ENSG00000221978",1795,2219,2621,2681,2746,3031,2171,1720,1291,1974,1817,2155,2288,1438,1809
"ENSG00000224870",167,176,219,297,374,312,241,172,141,204,222,221,360,180,202
"ENSG00000242485",677,613,726,823,638,579,895,489,306,974,667,721,1510,515,541
"ENSG00000264293",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272455",19,16,27,34,31,33,20,24,9,23,18,17,36,18,13
"ENSG00000235098",1,1,0,1,2,2,1,2,2,1,2,2,11,9,4
"ENSG00000225905",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000205116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225285",1,0,0,0,1,3,2,0,1,1,1,1,6,4,4
"ENSG00000179403",9,3,6,5,2,8,10,6,8,5,4,15,29,6,17
"ENSG00000215915",1,0,1,1,0,0,21,7,3,9,2,1,13,1,4
"ENSG00000160072",272,187,243,295,204,170,375,155,125,310,137,172,744,165,192
"ENSG00000284740",2,4,5,1,3,1,10,1,0,7,0,1,6,2,3
"ENSG00000197785",198,102,130,337,137,105,367,107,73,413,118,122,682,101,88
"ENSG00000205090",1,0,0,2,0,1,0,0,0,3,0,1,2,0,0
"ENSG00000160075",1367,1054,1360,1856,1543,1508,1731,821,552,1908,1154,1332,2931,1064,1039
"ENSG00000215014",40,14,32,41,45,52,42,20,17,56,32,38,63,20,39
"ENSG00000274481",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228594",261,90,268,358,156,210,477,108,136,350,112,252,483,99,221
"ENSG00000272106",67,70,88,47,72,70,97,45,61,62,57,89,97,28,75
"ENSG00000197530",76,160,484,209,278,256,262,246,326,163,166,480,185,193,518
"ENSG00000189409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000248333",400,469,652,632,516,523,542,405,306,601,531,716,945,589,683
"ENSG00000272004",2,1,0,2,1,3,0,4,1,9,5,6,9,3,4
"ENSG00000189339",213,387,484,851,1291,1248,651,793,563,957,1661,1804,1426,1346,1266
"ENSG00000269737",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000215914",0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
"ENSG00000008128",6,10,12,15,21,14,20,28,15,8,12,20,14,19,9
"ENSG00000268575",1,4,16,26,53,55,8,28,9,13,27,35,19,30,27
"ENSG00000227775",1,0,5,1,2,0,1,1,0,0,1,1,1,1,0
"ENSG00000215790",359,547,658,505,685,734,341,394,247,90,162,173,90,60,70
"ENSG00000008130",2592,8533,11373,3141,7481,7837,3614,6202,4673,3169,8932,10885,3534,8375,8555
"ENSG00000078369",8320,9328,11790,9051,8231,8744,9451,6270,4368,10367,9138,10946,16110,8635,8288
"ENSG00000231050",6,1,1,1,2,2,3,0,1,3,0,1,3,1,0
"ENSG00000169885",3,1,2,4,2,4,3,3,5,1,2,4,5,3,1
"ENSG00000178821",8,0,3,15,2,3,25,6,0,24,1,0,13,3,3
"ENSG00000142609",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ENSG00000233542",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000187730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226969",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000067606",8,3,1,23,4,4,8,2,0,19,6,13,21,10,13
"ENSG00000271806",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000182873",0,0,0,3,4,0,3,1,0,2,2,2,1,1,2
"ENSG00000162585",95,137,203,162,233,187,174,182,104,198,190,274,208,144,198
"ENSG00000234396",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000157933",666,288,549,1277,527,561,1376,409,389,1149,402,518,1842,373,555
"ENSG00000116151",31,19,24,57,30,35,49,16,8,51,16,26,80,11,10
"ENSG00000272161",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000269896",9,0,2,17,5,3,22,2,1,15,2,5,8,1,0
"ENSG00000272420",1,0,0,1,0,1,0,1,2,1,0,0,0,0,5
"ENSG00000157916",1633,1532,2016,2287,1810,1875,2250,1322,926,2197,1654,1989,3030,1407,1427
"ENSG00000157911",245,240,236,461,309,240,472,201,112,425,252,276,651,271,209
"ENSG00000149527",0,0,0,1,1,1,0,1,1,0,0,1,0,0,0
"ENSG00000224387",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229393",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
